Code_commune_INSEE;Nom_commune;Code_postal;Libelle_acheminement;Ligne_5;coordonnees_gps
76419;MAUNY;76530;MAUNY;;49.3726997193, 0.948232561629
76420;MAUQUENCHY;76440;MAUQUENCHY;;49.6188544023, 1.54394824597
76425;MENTHEVILLE;76110;MENTHEVILLE;;49.6526203294, 0.399455175841
76427;MESNIERES EN BRAY;76270;MESNIERES EN BRAY;;49.7406847594, 1.46475769739
76428;LE MESNIL DURDENT;76460;LE MESNIL DURDENT;;49.8337451527, 0.727411790002
76435;LE MESNIL REAUME;76260;LE MESNIL REAUME;;49.9895883457, 1.42435065145
76439;MIRVILLE;76210;MIRVILLE;;49.5851184372, 0.501047284927
76443;MONT CAUVAIRE;76690;MONT CAUVAIRE;;49.5862188915, 1.14950930862
76448;MONTMAIN;76520;MONTMAIN;;49.3789256618, 1.21574177782
76464;LA NEUVILLE CHANT D OISEL;76520;LA NEUVILLE CHANT D OISEL;;49.3789256618, 1.21574177782
76467;NEVILLE;76460;NEVILLE;;49.8337451527, 0.727411790002
76468;NOINTOT;76210;NOINTOT;;49.5851184372, 0.501047284927
76469;NOLLEVAL;76780;NOLLEVAL;;49.5162651662, 1.48144260019
76476;PORT JEROME SUR SEINE;76170;PORT JEROME SUR SEINE;AUBERVILLE LA CAMPAGNE;49.5137047652, 0.527687035677
76488;OUAINVILLE;76450;OUAINVILLE;;49.775306419, 0.640370985618
76491;OUVILLE L ABBAYE;76760;OUVILLE L ABBAYE;;49.6677030275, 0.908405860625
76501;PIERREFIQUES;76280;PIERREFIQUES;;49.6375220481, 0.236587220503
76503;PISSY POVILLE;76360;PISSY POVILLE;;49.5442328015, 0.945102763311
76507;PONTS ET MARAIS;76260;PONTS ET MARAIS;;49.9895883457, 1.42435065145
76508;LA POTERIE CAP D ANTIFER;76280;LA POTERIE CAP D ANTIFER;;49.6375220481, 0.236587220503
76525;RICARVILLE;76640;RICARVILLE;;49.6510172179, 0.600020704454
76527;RICHEMONT;76390;RICHEMONT;;49.7548408917, 1.67360909964
76544;ROUVRAY CATILLON;76440;ROUVRAY CATILLON;;49.6188544023, 1.54394824597
76546;ROYVILLE;76730;ROYVILLE;;49.796069527, 0.969746100995
76557;ST ARNOULT;76490;ST ARNOULT;;49.5497184764, 0.687731909353
76559;ST AUBIN DE CRETOT;76190;ST AUBIN DE CRETOT;;49.6137220579, 0.75005615397
76568;ST CLAIR SUR LES MONTS;76190;ST CLAIR SUR LES MONTS;;49.6137220579, 0.75005615397
76569;STE COLOMBE;76460;STE COLOMBE;;49.8337451527, 0.727411790002
76573;ST DENIS LE THIBOULT;76116;ST DENIS LE THIBOULT;;49.4774300897, 1.31326170065
76575;ST ETIENNE DU ROUVRAY;76800;ST ETIENNE DU ROUVRAY;;49.3813581985, 1.09010989308
76578;STE GENEVIEVE;76440;STE GENEVIEVE;;49.6188544023, 1.54394824597
76581;ST GERMAIN DES ESSOURTS;76750;ST GERMAIN DES ESSOURTS;;49.5594523897, 1.35159679533
76594;ST JEAN DU CARDONNAY;76150;ST JEAN DU CARDONNAY;;49.4875793097, 1.0078796915
76603;ST MACLOU LA BRIERE;76110;ST MACLOU LA BRIERE;;49.6526203294, 0.399455175841
76606;MORIENNE;76390;MORIENNE;;49.7548408917, 1.67360909964
76612;ST MARTIN AU BOSC;76340;ST MARTIN AU BOSC;;49.8827796444, 1.59743945705
76616;ST MARTIN DU MANOIR;76290;ST MARTIN DU MANOIR;;49.5514571259, 0.184758051625
76617;ST MARTIN DU VIVIER;76160;ST MARTIN DU VIVIER;;49.45757124, 1.20910529231
76618;PETIT CAUX;76630;PETIT CAUX;AUQUEMESNIL;49.9057063551, 1.31395145931
76618;PETIT CAUX;76630;PETIT CAUX;INTRAVILLE;49.9057063551, 1.31395145931
76621;ST MARTIN OSMONVILLE;76680;ST MARTIN OSMONVILLE;;49.6749469501, 1.28795633679
76622;ST MAURICE D ETELAN;76330;ST MAURICE D ETELAN;;49.4716972983, 0.6014275892
76630;ST OUEN SOUS BAILLY;76630;ST OUEN SOUS BAILLY;;49.9057063551, 1.31395145931
76634;ST PIERRE DE MANNEVILLE;76113;ST PIERRE DE MANNEVILLE;;49.3773922379, 0.947884639946
76636;ST PIERRE DE VARENGEVILLE;76480;ST PIERRE DE VARENGEVILLE;;49.4756537781, 0.881261828892
76637;ST PIERRE EN PORT;76540;ST PIERRE EN PORT;;49.7570077564, 0.523798637411
76639;ST PIERRE LAVIS;76640;ST PIERRE LAVIS;;49.6510172179, 0.600020704454
76644;ST REMY BOSCROCOURT;76260;ST REMY BOSCROCOURT;;49.9895883457, 1.42435065145
76648;ST SAENS;76680;ST SAENS;;49.6749469501, 1.28795633679
76652;ST VAAST D EQUIQUEVILLE;76510;ST VAAST D EQUIQUEVILLE;;49.8421027228, 1.24198039608
76664;SASSEVILLE;76450;SASSEVILLE;;49.775306419, 0.640370985618
76671;SEPT MEULES;76260;SEPT MEULES;;49.9895883457, 1.42435065145
76672;SERQUEUX;76440;SERQUEUX;;49.6188544023, 1.54394824597
76673;SERVAVILLE SALMONVILLE;76116;SERVAVILLE SALMONVILLE;;49.4774300897, 1.31326170065
76676;SIGY EN BRAY;76780;SIGY EN BRAY;ST LUCIEN;49.5162651662, 1.48144260019
76684;TANCARVILLE;76430;TANCARVILLE;;49.5106363792, 0.356900771027
76685;THEROULDEVILLE;76540;THEROULDEVILLE;;49.7570077564, 0.523798637411
76694;TOCQUEVILLE EN CAUX;76730;TOCQUEVILLE EN CAUX;;49.796069527, 0.969746100995
76698;TORCY LE PETIT;76590;TORCY LE PETIT;;49.7970976502, 1.12197403222
76699;LE TORP MESNIL;76560;LE TORP MESNIL;;49.7257116216, 0.791799762014
76700;TOTES;76890;TOTES;;49.6903705547, 1.028862596
76709;LE TRAIT;76580;LE TRAIT;;49.4836816397, 0.820017087099
76710;TREMAUVILLE;76640;TREMAUVILLE;;49.6510172179, 0.600020704454
76721;VARNEVILLE BRETTEVILLE;76890;VARNEVILLE BRETTEVILLE;;49.6903705547, 1.028862596
76724;VATIERVILLE;76270;VATIERVILLE;;49.7406847594, 1.46475769739
02609;PLOYART ET VAURSEINE;02860;PLOYART ET VAURSEINE;;49.4877552055, 3.68304619282
02610;POMMIERS;02200;POMMIERS;;49.3519078898, 3.32022130463
02614;PONTRU;02490;PONTRU;;49.8944310161, 3.16485920381
02616;PONT ST MARD;02380;PONT ST MARD;;49.5102092676, 3.34013321882
02617;POUILLY SUR SERRE;02270;POUILLY SUR SERRE;;49.714634271, 3.5968851996
02618;PREMONT;02110;PREMONT;;49.9673733527, 3.44143561655
02629;PUISIEUX ET CLANLIEU;02120;PUISIEUX ET CLANLIEU;;49.8880905983, 3.64129929098
02631;QUIERZY;02300;QUIERZY;;49.5817295222, 3.19169688143
02634;RAILLIMONT;02360;RAILLIMONT;;49.7487127053, 4.14397175229
02635;RAMICOURT;02110;RAMICOURT;;49.9673733527, 3.44143561655
02643;RESSONS LE LONG;02290;RESSONS LE LONG;;49.4210899814, 3.18005200266
02645;REUILLY SAUVIGNY;02850;REUILLY SAUVIGNY;;49.0863086869, 3.57089445774
02648;RIBEMONT;02240;RIBEMONT;;49.7790821794, 3.44336123783
02652;ROGNY;02140;ROGNY;;49.8210899574, 3.91454720458
02654;ROMERY;02120;ROMERY;;49.8880905983, 3.64129929098
02655;RONCHERES;02130;RONCHERES;;49.1935797302, 3.55982855371
02656;ROUCY;02160;ROUCY;;49.3988991643, 3.73817191868
02659;ROUVROY;02100;ROUVROY;;49.8685441759, 3.30178111999
02672;ST BANDRY;02290;ST BANDRY;;49.4210899814, 3.18005200266
02689;ST PIERREMONT;02250;ST PIERREMONT;;49.738528886, 3.80415822108
02693;ST REMY BLANZY;02210;ST REMY BLANZY;;49.2129002416, 3.35011614589
02704;SELENS;02300;SELENS;;49.5817295222, 3.19169688143
02728;SORBAIS;02580;SORBAIS;;49.9024615408, 3.89676959472
02740;THENAILLES;02140;THENAILLES;;49.8210899574, 3.91454720458
02746;TRAVECY;02800;TRAVECY;;49.6765246538, 3.39232111371
02747;TREFCON;02490;TREFCON;;49.8944310161, 3.16485920381
02752;TUGNY ET PONT;02640;TUGNY ET PONT;;49.7574538282, 3.17195418496
02755;URCEL;02000;URCEL;;49.5539294526, 3.59337928423
02756;URVILLERS;02690;URVILLERS;;49.7818519929, 3.29506303769
02757;VADENCOURT;02120;VADENCOURT;LONGCHAMPS;49.8880905983, 3.64129929098
02762;VASSENS;02290;VASSENS;;49.4210899814, 3.18005200266
02770;VAUXBUIN;02200;VAUXBUIN;;49.3519078898, 3.32022130463
02778;VENDRESSE BEAULNE;02160;VENDRESSE BEAULNE;;49.3988991643, 3.73817191868
02785;VERMAND;02490;VERMAND;;49.8944310161, 3.16485920381
02786;VERNEUIL SOUS COUCY;02380;VERNEUIL SOUS COUCY;;49.5102092676, 3.34013321882
02790;VESLES ET CAUMONT;02350;VESLES ET CAUMONT;;49.6393180069, 3.83480530276
02798;VIELS MAISONS;02540;VIELS MAISONS;;48.9128673746, 3.4403848461
02803;LA VILLE AUX BOIS LES PONTAVERT;02160;LA VILLE AUX BOIS LES PONTAVERT;;49.3988991643, 3.73817191868
02819;VINCY REUIL ET MAGNY;02340;VINCY REUIL ET MAGNY;;49.6857429854, 4.02291889368
02823;VOHARIES;02140;VOHARIES;;49.8210899574, 3.91454720458
02824;VORGES;02860;VORGES;;49.4877552055, 3.68304619282
02834;WISSIGNICOURT;02320;WISSIGNICOURT;;49.5132435119, 3.44966195866
03005;ARCHIGNAT;03380;ARCHIGNAT;;46.359524355, 2.44784253368
03015;BAGNEUX;03460;BAGNEUX;;46.6591659055, 3.26064885085
03022;BELLENAVES;03330;BELLENAVES;;46.21070511, 3.02004688789
03035;LE BOUCHAUD;03130;LE BOUCHAUD;;46.3489734556, 3.83441218096
03037;BRAIZE;03360;BRAIZE;;46.6639251389, 2.70661035992
03038;BRANSAT;03500;BRANSAT;;46.3297794911, 3.27171202059
03041;LE BRETHON;03350;LE BRETHON;;46.5880559435, 2.80538087836
03047;LA CELLE;03600;LA CELLE;;46.2666871749, 2.79054682985
03054;CHAPEAU;03340;CHAPEAU;;46.4501557616, 3.43942597806
03061;CHARMES;03800;CHARMES;;46.1153548371, 3.19982055617
03062;CHARROUX;03140;CHARROUX;;46.2575366145, 3.13980624239
03063;CHASSENARD;03510;CHASSENARD;;46.4530576935, 3.94915396581
03069;CHATILLON;03210;CHATILLON;;46.5175879411, 3.17401702628
03075;CHEZELLE;03140;CHEZELLE;;46.2575366145, 3.13980624239
03076;CHEZY;03230;CHEZY;;46.6114394965, 3.57872816939
03090;COUZON;03160;COUZON;;46.6099440083, 3.0191350037
03092;CRESSANGES;03240;CRESSANGES;;46.4061153247, 3.09625699171
03093;CREUZIER LE NEUF;03300;CREUZIER LE NEUF;;46.1385416663, 3.51870558058
03095;CUSSET;03300;CUSSET;;46.1385416663, 3.51870558058
03116;FOURILLES;03140;FOURILLES;;46.2575366145, 3.13980624239
03117;FRANCHESSE;03160;FRANCHESSE;;46.6099440083, 3.0191350037
03125;LA GUILLERMIE;03250;LA GUILLERMIE;;46.0429962742, 3.69557711106
03142;LENAX;03130;LENAX;;46.3489734556, 3.83441218096
03143;LETELON;03360;LETELON;;46.6639251389, 2.70661035992
03145;LIGNEROLLES;03410;LIGNEROLLES;;46.3319374821, 2.55481116435
03149;LOUCHY MONTFAND;03500;LOUCHY MONTFAND;;46.3297794911, 3.27171202059
03150;LOUROUX BOURBONNAIS;03350;LOUROUX BOURBONNAIS;;46.5880559435, 2.80538087836
03155;LURCY LEVIS;03320;LURCY LEVIS;;46.7203528879, 2.95641029349
03156;LUSIGNY;03230;LUSIGNY;;46.6114394965, 3.57872816939
03159;MALICORNE;03600;MALICORNE;;46.2666871749, 2.79054682985
03172;MESPLES;03370;MESPLES;;46.456930781, 2.40747377099
03178;MONTAIGUET EN FOREZ;03130;MONTAIGUET EN FOREZ;;46.3489734556, 3.83441218096
03180;MONTBEUGNY;03340;MONTBEUGNY;;46.4501557616, 3.43942597806
03182;MONTEIGNET SUR L ANDELOT;03800;MONTEIGNET SUR L ANDELOT;;46.1153548371, 3.19982055617
03185;MONTLUCON;03100;MONTLUCON;;46.3299080468, 2.60294961501
03187;MONTOLDRE;03150;MONTOLDRE;;46.3046634168, 3.45300130315
03189;MONTVICQ;03170;MONTVICQ;;46.3584523148, 2.7532534331
03192;NADES;03450;NADES;;46.1429171198, 3.03869570885
03204;PARAY SOUS BRIAILLES;03500;PARAY SOUS BRIAILLES;;46.3297794911, 3.27171202059
03205;PERIGNY;03120;PERIGNY;;46.2072801778, 3.66054090457
03211;PREMILHAT;03410;PREMILHAT;;46.3319374821, 2.55481116435
03212;QUINSSAINES;03380;QUINSSAINES;;46.359524355, 2.44784253368
03213;REUGNY;03190;REUGNY;;46.4826080397, 2.65647600079
03220;ST BONNET DE ROCHEFORT;03800;ST BONNET DE ROCHEFORT;;46.1153548371, 3.19982055617
03221;ST BONNET TRONCAIS;03360;ST BONNET TRONCAIS;;46.6639251389, 2.70661035992
03243;ST MARCEL EN MURAT;03390;ST MARCEL EN MURAT;;46.3269573756, 2.93679535229
03251;ST PLAISIR;03160;ST PLAISIR;;46.6099440083, 3.0191350037
03259;ST SAUVIER;03370;ST SAUVIER;;46.456930781, 2.40747377099
03282;THENEUILLE;03350;THENEUILLE;;46.5880559435, 2.80538087836
03288;TREIGNAT;03380;TREIGNAT;;46.359524355, 2.44784253368
03307;VERNEUIL EN BOURBONNAIS;03500;VERNEUIL EN BOURBONNAIS;;46.3297794911, 3.27171202059
03308;VERNUSSE;03390;VERNUSSE;;46.3269573756, 2.93679535229
04019;BARCELONNETTE;04400;BARCELONNETTE;;44.3554624604, 6.65679459978
04028;BEYNES;04270;BEYNES;;43.9535232378, 6.23179869809
04031;BRAS D ASSE;04270;BRAS D ASSE;;43.9535232378, 6.23179869809
04072;DRAIX;04420;DRAIX;;44.1915370123, 6.39634951994
04073;ENCHASTRAYES;04400;ENCHASTRAYES;;44.3554624604, 6.65679459978
04075;ENTREPIERRES;04200;ENTREPIERRES;ST SYMPHORIEN;44.2004441719, 5.9040305038
04051;CHATEAUNEUF MIRAVAIL;04200;CHATEAUNEUF MIRAVAIL;;44.2004441719, 5.9040305038
04061;COLMARS;04370;COLMARS LES ALPES;;44.1743215148, 6.62460542768
04074;ENTRAGES;04000;ENTRAGES;;44.1282802436, 6.25179168531
04074;ENTRAGES;04270;ENTRAGES;CHABRIERES;43.9535232378, 6.23179869809
04075;ENTREPIERRES;04200;ENTREPIERRES;;44.2004441719, 5.9040305038
04077;ENTREVENNES;04700;ENTREVENNES;;43.9432267959, 5.96852873761
04084;ESTOUBLON;04270;ESTOUBLON;TREVANS;43.9535232378, 6.23179869809
04086;FAUCON DE BARCELONNETTE;04400;FAUCON DE BARCELONNETTE;;44.3554624604, 6.65679459978
04088;FORCALQUIER;04300;FORCALQUIER;;43.9526541708, 5.78676872287
04102;LE LAUZET UBAYE;04340;LE LAUZET UBAYE;;44.4048142358, 6.43134796483
04108;MALIJAI;04350;MALIJAI;;44.0338981069, 6.05079344905
04122;MIRABEAU;04510;MIRABEAU;;44.0399432995, 6.10204866093
04140;LES OMERGUES;04200;LES OMERGUES;;44.2004441719, 5.9040305038
04142;OPPEDETTE;04110;OPPEDETTE;;43.8916683582, 5.655629925
04163;REVEST DU BION;04150;REVEST DU BION;;44.0485937813, 5.61131710182
04227;VACHERES;04110;VACHERES;;43.8916683582, 5.655629925
05027;CERVIERES;05100;CERVIERES;;44.9491518655, 6.66040427296
05044;CREVOUX;05200;CREVOUX;;44.5288516779, 6.5354706642
05045;CROTS;05200;CROTS;;44.5288516779, 6.5354706642
05056;FOREST ST JULIEN;05260;FOREST ST JULIEN;;44.6914774663, 6.23838338472
05062;LE GLAIZIL;05800;LE GLAIZIL;;44.8037455083, 6.14432852349
05070;LARAGNE MONTEGLIN;05300;LARAGNE MONTEGLIN;;44.2953436251, 5.81680688288
05074;LETTRET;05130;LETTRET;;44.47463423, 6.07115891935
05080;MONTBRAND;05140;MONTBRAND;;44.5714639145, 5.71301541571
05081;MONTCLUS;05700;MONTCLUS;;44.3940115409, 5.69370523608
05096;ORCIERES;05170;ORCIERES;MERLETTE;44.6838701785, 6.34860583609
05115;REMOLLON;05190;REMOLLON;;44.4605179001, 6.21963036357
05132;ST BONNET EN CHAMPSAUR;05500;ST BONNET EN CHAMPSAUR;;44.7016544828, 6.08603823073
05132;ST BONNET EN CHAMPSAUR;05500;ST BONNET EN CHAMPSAUR;LES INFOURNAS;44.7016544828, 6.08603823073
05140;ST ETIENNE LE LAUS;05130;ST ETIENNE LE LAUS;;44.47463423, 6.07115891935
01013;ARANDAS;01230;ARANDAS;;45.9329292993, 5.4692328328
01017;ARGIS;01230;ARGIS;;45.9329292993, 5.4692328328
01022;ARTEMARE;01510;ARTEMARE;;45.8480243468, 5.61949053703
01030;BEAUREGARD;01480;BEAUREGARD;;46.0178170669, 4.81482624573
01032;BELIGNEUX;01360;BELIGNEUX;;45.8283269463, 5.15327415034
01038;BENY;01370;BENY;;46.2853749129, 5.32614321781
01039;BEON;01350;BEON;;45.8543854094, 5.76557245306
01046;BIZIAT;01290;BIZIAT;;46.2466681, 4.88543738301
01053;BOURG EN BRESSE;01000;BOURG EN BRESSE;;46.2069478835, 5.22442559307
01053;BOURG EN BRESSE;01000;BOURG EN BRESSE;BROU;46.2069478835, 5.22442559307
01054;BOURG ST CHRISTOPHE;01800;BOURG ST CHRISTOPHE;;45.8984701804, 5.16340257624
01057;BOZ;01190;BOZ;;46.4316836316, 4.96424452785
01062;BRESSOLLES;01360;BRESSOLLES;LA LECHERE;45.8283269463, 5.15327415034
01066;LA BURBANCHE;01510;LA BURBANCHE;;45.8480243468, 5.61949053703
01071;CESSY;01170;CESSY;;46.3286268081, 6.03059799732
01079;CHAMPAGNE EN VALROMEY;01260;CHAMPAGNE EN VALROMEY;LILIGNOD;45.9506630232, 5.68746147482
01080;CHAMPDOR CORCELLES;01110;CHAMPDOR CORCELLES;;45.9724218119, 5.577110369
01080;CHAMPDOR CORCELLES;01110;CHAMPDOR CORCELLES;CORCELLES;45.9724218119, 5.577110369
01083;CHANEINS;01990;CHANEINS;;46.0766987934, 4.89959868147
01090;CHATENAY;01320;CHATENAY;;46.0113616676, 5.19303242296
01092;CHATILLON LA PALUD;01320;CHATILLON LA PALUD;;46.0113616676, 5.19303242296
01101;CHEVILLARD;01430;CHEVILLARD;;46.1000038391, 5.54230808548
01113;CONDEISSIAT;01400;CONDEISSIAT;;46.1331001556, 4.99858455549
01117;CONZIEU;01300;CONZIEU;;45.7328309975, 5.65715901636
01122;CORMARANCHE EN BUGEY;01110;CORMARANCHE EN BUGEY;;45.9724218119, 5.577110369
01129;CRANS;01320;CRANS;;46.0113616676, 5.19303242296
01133;CRESSIN ROCHEFORT;01350;CRESSIN ROCHEFORT;;45.8543854094, 5.76557245306
01136;CRUZILLES LES MEPILLAT;01290;CRUZILLES LES MEPILLAT;;46.2466681, 4.88543738301
01138;CULOZ;01350;CULOZ;;45.8543854094, 5.76557245306
01153;ECHENEVEX;01170;ECHENEVEX;;46.3286268081, 6.03059799732
01159;FEILLENS;01570;FEILLENS;;46.3545794503, 4.88868114295
02118;BRAYE;02880;BRAYE;;49.4238582409, 3.38402828695
02128;BRUYERES ET MONTBERAULT;02860;BRUYERES ET MONTBERAULT;;49.4877552055, 3.68304619282
02130;BUCILLY;02500;BUCILLY;;49.890758884, 4.10750632589
02134;BUIRE;02500;BUIRE;;49.890758884, 4.10750632589
02142;CASTRES;02680;CASTRES;;49.80786398, 3.24088325825
03224;ST CLEMENT;03250;ST CLEMENT;;46.0429962742, 3.69557711106
03228;ST ELOY D ALLIER;03370;ST ELOY D ALLIER;;46.456930781, 2.40747377099
03258;ST REMY EN ROLLAT;03110;ST REMY EN ROLLAT;;46.1767414574, 3.325569601
03281;LE THEIL;03240;LE THEIL;;46.4061153247, 3.09625699171
03284;THIONNE;03220;THIONNE;;46.3831158791, 3.5976011499
03285;TORTEZAIS;03430;TORTEZAIS;;46.4484596667, 2.84631497595
03286;TOULON SUR ALLIER;03400;TOULON SUR ALLIER;;46.5948274865, 3.39131672736
03300;VAUMAS;03220;VAUMAS;;46.3831158791, 3.5976011499
03315;VILLEFRANCHE D ALLIER;03430;VILLEFRANCHE D ALLIER;;46.4484596667, 2.84631497595
03318;VITRAY;03360;VITRAY;;46.6639251389, 2.70661035992
04001;AIGLUN;04510;AIGLUN;;44.0399432995, 6.10204866093
04005;ALLONS;04170;ALLONS;;44.0283793714, 6.53951156663
04053;CHATEAUNEUF VAL ST DONAT;04200;CHATEAUNEUF VAL ST DONAT;;44.2004441719, 5.9040305038
04062;LA CONDAMINE CHATELARD;04530;LA CONDAMINE CHATELARD;STE ANNE;44.529721781, 6.79644418503
04063;CORBIERES;04220;CORBIERES;;43.7711056931, 5.75846047346
04073;ENCHASTRAYES;04400;ENCHASTRAYES;LE SAUZE;44.3554624604, 6.65679459978
04093;GIGORS;04250;GIGORS;;44.3409779854, 6.11647395481
04106;LURS;04700;LURS;;43.9432267959, 5.96852873761
04115;MEAILLES;04240;MEAILLES;;43.977813048, 6.67580684745
04130;MONTLAUX;04230;MONTLAUX;;44.0612968723, 5.79443047594
04134;LA MOTTE DU CAIRE;04250;LA MOTTE DU CAIRE;;44.3409779854, 6.11647395481
04141;ONGLES;04230;ONGLES;;44.0612968723, 5.79443047594
04145;PEIPIN;04200;PEIPIN;LES BONS ENFANTS;44.2004441719, 5.9040305038
04156;PUIMICHEL;04700;PUIMICHEL;;43.9432267959, 5.96852873761
04161;MEOLANS REVEL;04340;MEOLANS REVEL;;44.4048142358, 6.43134796483
04164;REVEST ST MARTIN;04230;REVEST ST MARTIN;;44.0612968723, 5.79443047594
04167;LA ROBINE SUR GALABRE;04000;LA ROBINE SUR GALABRE;AINAC;44.1282802436, 6.25179168531
04175;STE CROIX A LAUZE;04110;STE CROIX A LAUZE;;43.8916683582, 5.655629925
04178;ST ETIENNE LES ORGUES;04230;ST ETIENNE LES ORGUES;;44.0612968723, 5.79443047594
04179;ST GENIEZ;04200;ST GENIEZ;;44.2004441719, 5.9040305038
04182;ST JULIEN D ASSE;04270;ST JULIEN D ASSE;;43.9535232378, 6.23179869809
04192;ST MICHEL L OBSERVATOIRE;04870;ST MICHEL L OBSERVATOIRE;;43.9100527166, 5.71951283104
04192;ST MICHEL L OBSERVATOIRE;04870;ST MICHEL L OBSERVATOIRE;LINCEL;43.9100527166, 5.71951283104
04208;SIMIANE LA ROTONDE;04150;SIMIANE LA ROTONDE;;44.0485937813, 5.61131710182
50082;BRICQUEBEC EN COTENTIN;50260;BRICQUEBEC EN COTENTIN;LE VALDECIE;49.4933087231, -1.61334140824
50082;BRICQUEBEC EN COTENTIN;50260;BRICQUEBEC EN COTENTIN;LE VRETOT;49.4933087231, -1.61334140824
50084;BRICQUEVILLE LA BLOUETTE;50200;BRICQUEVILLE LA BLOUETTE;;49.0681244032, -1.4630459353
50086;BRILLEVAST;50330;BRILLEVAST;;49.6542463147, -1.41392167806
50093;CAMETOURS;50570;CAMETOURS;;49.1154216014, -1.25542173856
50120;CHANTELOUP;50510;CHANTELOUP;;48.8892381403, -1.44244421286
50124;LA CHAPELLE UREE;50370;LA CHAPELLE UREE;;48.7245899979, -1.18576770618
50129;CHERBOURG EN COTENTIN;50130;CHERBOURG EN COTENTIN;;49.6331832109, -1.6338586934
50138;COLOMBY;50700;COLOMBY;;49.5257666126, -1.48649519632
50139;CONDE SUR VIRE;50420;CONDE SUR VIRE;LE MESNIL RAOULT;48.9843046983, -1.06508907903
50492;ST JEAN D ELLE;50810;ST JEAN D ELLE;ROUXEVILLE;49.1141244901, -0.965580935712
50493;ST JEAN DES CHAMPS;50320;ST JEAN DES CHAMPS;ST URSIN;48.8090574287, -1.40357564145
50509;STE MARIE DU MONT;50480;STE MARIE DU MONT;;49.3873274506, -1.27231907432
50514;CHAULIEU;50150;CHAULIEU;ST SAUVEUR DE CHAULIEU;48.7316763227, -0.921013476497
50524;ST MICHEL DE LA PIERRE;50490;ST MICHEL DE LA PIERRE;;49.1348476035, -1.4186488271
50529;ST NICOLAS DES BOIS;50370;ST NICOLAS DES BOIS;;48.7245899979, -1.18576770618
50540;ST PIERRE LANGERS;50530;ST PIERRE LANGERS;;48.7283863786, -1.45989829146
50546;BOURGVALLEES;50750;BOURGVALLEES;ST SAMSON DE BONFOSSE;49.0496336445, -1.17517736978
50550;ST SAUVEUR LENDELIN;50490;ST SAUVEUR LENDELIN;;49.1348476035, -1.4186488271
50552;ST SEBASTIEN DE RAIDS;50190;ST SEBASTIEN DE RAIDS;;49.2025201016, -1.39201164868
50553;ST SENIER DE BEUVRON;50240;ST SENIER DE BEUVRON;;48.5346671898, -1.33682462568
50565;SARTILLY BAIE BOCAGE;50530;SARTILLY BAIE BOCAGE;ANGEY;48.7283863786, -1.45989829146
50565;SARTILLY BAIE BOCAGE;50530;SARTILLY BAIE BOCAGE;LA ROCHELLE NORMANDE;48.7283863786, -1.45989829146
50576;SIOUVILLE HAGUE;50340;SIOUVILLE HAGUE;;49.5226862612, -1.78861427785
50580;SOTTEVILLE;50340;SOTTEVILLE;;49.5226862612, -1.78861427785
50584;SUBLIGNY;50870;SUBLIGNY;;48.7458565845, -1.30663914164
50591;LE TEILLEUL;50640;LE TEILLEUL;;48.5293564364, -0.941843015494
50591;LE TEILLEUL;50640;LE TEILLEUL;HUSSON;48.5293564364, -0.941843015494
50592;TESSY BOCAGE;50420;TESSY BOCAGE;;48.9843046983, -1.06508907903
50598;TOCQUEVILLE;50330;TOCQUEVILLE;;49.6542463147, -1.41392167806
50600;TONNEVILLE;50460;TONNEVILLE;;49.6466043222, -1.6849502548
50601;TORIGNY LES VILLES;50160;TORIGNY LES VILLES;GIEVILLE;49.0498306608, -0.92753197973
50601;TORIGNY LES VILLES;50160;TORIGNY LES VILLES;GUILBERVILLE;49.0498306608, -0.92753197973
50605;TRELLY;50660;TRELLY;;48.9716894019, -1.47095914438
50608;TROISGOTS;50420;TROISGOTS;;48.9843046983, -1.06508907903
50613;VALCANVILLE;50760;VALCANVILLE;;49.6491008293, -1.28632343012
50621;VAUDREVILLE;50310;VAUDREVILLE;;49.4817959888, -1.34801169706
50628;VERNIX;50370;VERNIX;;48.7245899979, -1.18576770618
50629;VESLY;50430;VESLY;GERVILLE LA FORET;49.238207059, -1.53592999138
50636;VIERVILLE;50480;VIERVILLE;;49.3873274506, -1.27231907432
51584;TROIS PUITS;51500;TROIS PUITS;;49.1723800195, 4.04564192056
51586;UNCHAIR;51170;UNCHAIR;;49.2286555587, 3.76316575705
51602;VAVRAY LE PETIT;51300;VAVRAY LE PETIT;;48.7342948519, 4.60628252938
52070;BRENNES;52200;BRENNES;;47.8591837688, 5.27130634818
52240;HEUILLEY LE GRAND;52600;HEUILLEY LE GRAND;;47.7926178231, 5.43469720671
52242;HAUTE AMANCE;52600;HAUTE AMANCE;HORTES;47.7926178231, 5.43469720671
52272;LANTY SUR AUBE;52120;LANTY SUR AUBE;;48.0490446156, 4.88638529419
52282;LEFFONDS;52210;LEFFONDS;;47.9325249173, 5.04140809229
52305;MANDRES LA COTE;52800;MANDRES LA COTE;;48.0321546961, 5.30922833367
52310;MARBEVILLE;52320;MARBEVILLE;;48.287832359, 5.09541662675
52315;MARNAY SUR MARNE;52800;MARNAY SUR MARNE;;48.0321546961, 5.30922833367
52325;MILLIERES;52240;MILLIERES;;48.0703177579, 5.52769658592
52332;VAL DE MEUSE;52140;VAL DE MEUSE;MAULAIN;47.9980544198, 5.51712697387
