Code_commune_INSEE;Nom_commune;Code_postal;Libelle_acheminement;Ligne_5;coordonnees_gps
14054;BEAUMESNIL;14380;BEAUMESNIL;;48.8544817922, -1.0273831979
14055;BEAUMONT EN AUGE;14950;BEAUMONT EN AUGE;;49.2830960197, 0.0921245287823
14057;BELLENGREVILLE;14370;BELLENGREVILLE;;49.1190784398, -0.159512854419
14061;SOULEUVRE EN BOCAGE;14350;SOULEUVRE EN BOCAGE;BURES LES MONTS;48.9220153608, -0.733098585986
14061;SOULEUVRE EN BOCAGE;14350;SOULEUVRE EN BOCAGE;ST OUEN DES BESACES;48.9220153608, -0.733098585986
14061;SOULEUVRE EN BOCAGE;14350;SOULEUVRE EN BOCAGE;STE MARIE LAUMONT;48.9220153608, -0.733098585986
14073;LA BIGNE;14260;LA BIGNE;;49.0066968594, -0.682033937829
14081;BOISSEY;14170;BOISSEY;;48.9808309881, -0.0400174122505
14093;BRANVILLE;14430;BRANVILLE;;49.2183532057, -0.0305664652154
14124;LA CAMBE;14230;LA CAMBE;;49.3176758888, -1.05497360925
14125;CAMBES EN PLAINE;14610;CAMBES EN PLAINE;;49.2527836333, -0.426386244935
14126;CAMBREMER;14340;CAMBREMER;ST AUBIN SUR ALGOT;49.1715682628, 0.0767124030123
11432;VILLENEUVE LES MONTREAL;11290;VILLENEUVE LES MONTREAL;;43.1943746552, 2.18782678941
11434;VILLEPINTE;11150;VILLEPINTE;;43.2498711617, 2.06462165287
12002;AGUESSAC;12520;AGUESSAC;;44.1968259654, 3.06387030498
12018;BALAGUIER D OLT;12260;BALAGUIER D OLT;;44.458873555, 1.98297177766
12029;BOR ET BAR;12270;BOR ET BAR;;44.2133464767, 2.02193088766
12036;BROMMAT;12600;BROMMAT;;44.8341310228, 2.67664580865
12037;BROQUIES;12480;BROQUIES;;43.9974313835, 2.69341373502
12043;CALMONT;12450;CALMONT;CEIGNAC;44.2840952345, 2.5725628832
12053;LA CAPELLE BALAGUIER;12260;LA CAPELLE BALAGUIER;;44.458873555, 1.98297177766
12076;CONQUES EN ROUERGUE;12320;CONQUES EN ROUERGUE;ST CYPRIEN SUR DOURDOU;44.5837975359, 2.46440638377
12084;CREISSELS;12100;CREISSELS;;44.0898281066, 3.10621950967
12094;ENTRAYGUES SUR TRUYERE;12140;ENTRAYGUES SUR TRUYERE;;44.6558037135, 2.58164635516
12108;GALGAN;12220;GALGAN;;44.4874742078, 2.20156153334
12109;GISSAC;12360;GISSAC;;43.7904240706, 2.95795996186
12145;MILLAU;12100;MILLAU;;44.0898281066, 3.10621950967
65107;BOURREAC;65100;BOURREAC;;43.0733136747, -0.0281562446131
65111;BULAN;65130;BULAN;;43.0681030312, 0.291772301589
65123;CAMPAN;65710;CAMPAN;ARTIGUES CAMPAN;42.9707906298, 0.166937174771
65128;CASTELBAJAC;65330;CASTELBAJAC;;43.2121588456, 0.389695156566
65131;CASTELVIEILH;65350;CASTELVIEILH;;43.2779016601, 0.195544066048
65148;CIZOS;65230;CIZOS;;43.2892143486, 0.513472405936
65150;CLARENS;65300;CLARENS;;43.1395973216, 0.406662032374
65161;ESCONDEAUX;65140;ESCONDEAUX;;43.3753826494, 0.157344446481
65184;GALEZ;65330;GALEZ;;43.2121588456, 0.389695156566
65190;GAZAVE;65250;GAZAVE;;43.0306895829, 0.387562975856
65207;GOURGUE;65130;GOURGUE;;43.0681030312, 0.291772301589
65215;HAGEDET;65700;HAGEDET;;43.5049102666, 0.00690164253781
65220;HIBARETTE;65380;HIBARETTE;;43.1697077524, -0.022463739718
65221;HIIS;65200;HIIS;;43.0346588013, 0.142823788541
65226;IBOS;65420;IBOS;;43.2411868167, 8.29948036872e-05
65231;IZAUX;65250;IZAUX;;43.0306895829, 0.387562975856
65242;LACASSAGNE;65140;LACASSAGNE;;43.3753826494, 0.157344446481
65249;LALANNE;65230;LALANNE;;43.2892143486, 0.513472405936
65274;LIBAROS;65330;LIBAROS;;43.2121588456, 0.389695156566
65279;LORTET;65250;LORTET;;43.0306895829, 0.387562975856
65281;LOUCRUP;65200;LOUCRUP;;43.0346588013, 0.142823788541
65283;LOUDERVIELLE;65240;LOUDERVIELLE;;42.8315711949, 0.385912028349
65291;LUGAGNAN;65100;LUGAGNAN;;43.0733136747, -0.0281562446131
70094;BREUCHOTTE;70280;BREUCHOTTE;;47.8584720576, 6.48683952427
70113;CENANS;70230;CENANS;;47.4966875875, 6.24277918181
70115;CERRE LES NOROY;70000;CERRE LES NOROY;;47.6011380255, 6.15589374132
70122;CHAMPLITTE;70600;CHAMPLITTE;;47.6194548362, 5.54979434525
70122;CHAMPLITTE;70600;CHAMPLITTE;NEUVELLE LES CHAMPLITTE;47.6194548362, 5.54979434525
70125;CHAMPVANS;70100;CHAMPVANS;;47.4450284828, 5.5835389303
70128;LA CHAPELLE LES LUXEUIL;70300;LA CHAPELLE LES LUXEUIL;;47.7890044544, 6.35705399626
70143;CHAUVIREY LE CHATEL;70500;CHAUVIREY LE CHATEL;;47.8418489668, 5.8916124162
70151;CHEVIGNEY;70140;CHEVIGNEY;;47.3157094968, 5.59575332821
70152;CHOYE;70700;CHOYE;;47.4220455151, 5.83192580295
70160;COISEVAUX;70400;COISEVAUX;;47.6008561434, 6.6927201573
70171;CORBENAY;70320;CORBENAY;;47.9247841994, 6.33509809591
70174;CORDONNET;70190;CORDONNET;;47.4343544936, 6.05247846774
70183;COURTESOULT ET GATEY;70600;COURTESOULT ET GATEY;;47.6194548362, 5.54979434525
70188;CREVENEY;70240;CREVENEY;;47.6867941228, 6.30222292395
70198;DAMPIERRE SUR SALON;70180;DAMPIERRE SUR SALON;;47.5818626565, 5.68358406763
70207;ECHENOZ LA MELINE;70000;ECHENOZ LA MELINE;;47.6011380255, 6.15589374132
70217;ESMOULIERES;70310;ESMOULIERES;;47.8636608805, 6.5903909277
70228;FAVERNEY;70160;FAVERNEY;;47.7821357866, 6.09657961176
70230;FEDRY;70120;FEDRY;;47.6952639398, 5.81680839597
70233;LES FESSEY;70310;LES FESSEY;;47.8636608805, 6.5903909277
70271;GOUHENANS;70110;GOUHENANS;;47.5606005441, 6.44969851367
70280;GRAY LA VILLE;70100;GRAY LA VILLE;;47.4450284828, 5.5835389303
70283;HAUT DU THEM CHATEAU LAMBERT;70440;HAUT DU THEM CHATEAU LAMBERT;;47.8263854039, 6.71661809603
70289;IGNY;70700;IGNY;;47.4220455151, 5.83192580295
70304;LINEXERT;70200;LINEXERT;;47.6775063744, 6.50353320831
70308;LA LONGINE;70310;LA LONGINE;;47.8636608805, 6.5903909277
70312;LUZE;70400;LUZE;;47.6008561434, 6.6927201573
70322;MAILLERONCOURT CHARETTE;70240;MAILLERONCOURT CHARETTE;;47.6867941228, 6.30222292395
70339;MELISEY;70270;MELISEY;;47.7708435276, 6.60585361719
70343;MERSUAY;70160;MERSUAY;;47.7821357866, 6.09657961176
70348;MOFFANS ET VACHERESSE;70200;MOFFANS ET VACHERESSE;;47.6775063744, 6.50353320831
70349;MOIMAY;70110;MOIMAY;;47.5606005441, 6.44969851367
70372;MONTUREUX LES BAULAY;70500;MONTUREUX LES BAULAY;;47.8418489668, 5.8916124162
70376;NANTILLY;70100;NANTILLY;;47.4450284828, 5.5835389303
70384;NEUVELLE LES LA CHARITE;70130;NEUVELLE LES LA CHARITE;;47.5459896831, 5.86128799053
70386;LA NEUVELLE LES SCEY;70360;LA NEUVELLE LES SCEY;;47.6495593751, 5.96829724146
70395;OPPENANS;70110;OPPENANS;;47.5606005441, 6.44969851367
70398;ORMOICHE;70300;ORMOICHE;;47.7890044544, 6.35705399626
70406;PERCEY LE GRAND;70600;PERCEY LE GRAND;;47.6194548362, 5.54979434525
70412;PLAINEMONT;70800;PLAINEMONT;;47.8604600248, 6.24651419219
70422;POYANS;70100;POYANS;;47.4450284828, 5.5835389303
70425;LA PROISELIERE ET LANGLE;70310;LA PROISELIERE ET LANGLE;;47.8636608805, 6.5903909277
70431;QUENOCHE;70190;QUENOCHE;;47.4343544936, 6.05247846774
70448;ROCHE ET RAUCOURT;70180;ROCHE ET RAUCOURT;;47.5818626565, 5.68358406763
70460;ST BRESSON;70280;ST BRESSON;;47.8584720576, 6.48683952427
